    交易日期    |    交易方向    |   股票代码    |   成交均价   |   成交数量   |   手续费   
---------------------------------------------------------------------------
[2020-07-21]  卖出 (SELL)  | 600900.SH | ¥  18.70 |    -6728 股 | ¥188.7204
[2020-07-21]  卖出 (SELL)  | 600570.SH | ¥ 116.00 |    -1086 股 | ¥188.9640
[2020-07-21]  卖出 (SELL)  | 600690.SH | ¥  17.74 |    -7044 股 | ¥187.4408
[2020-07-21]  卖出 (SELL)  | 002008.SZ | ¥  38.80 |    -3112 股 | ¥181.1184
[2020-07-21]  买入 (BUY)   | 000799.SZ | ¥  68.30 |     1809 股 | ¥185.3321
[2020-07-21]  买入 (BUY)   | 600028.SH | ¥   4.05 |    30462 股 | ¥185.0566
[2020-07-21]  买入 (BUY)   | 600839.SH | ¥   3.06 |    40217 股 | ¥184.5960
[2020-07-21]  买入 (BUY)   | 002281.SZ | ¥  35.98 |     3397 股 | ¥183.3361
[2020-07-21]  买入 (BUY)   | 600048.SH | ¥  16.85 |     7295 股 | ¥184.3811
[2020-07-21]  买入 (BUY)   | 002714.SZ | ¥  97.40 |     1268 股 | ¥185.2548
[2020-07-21]  买入 (BUY)   | 601088.SH | ¥  16.36 |     7568 股 | ¥185.7187
[2020-07-21]  买入 (BUY)   | 002241.SZ | ¥  31.89 |     3776 股 | ¥180.6250
[2020-07-21]  买入 (BUY)   | 000725.SZ | ¥   4.85 |    25532 股 | ¥185.7453
[2020-07-28]  卖出 (SELL)  | 002241.SZ | ¥  34.75 |    -3776 股 | ¥196.8240
[2020-07-28]  卖出 (SELL)  | 002714.SZ | ¥  88.21 |    -1268 股 | ¥167.7754
[2020-07-28]  卖出 (SELL)  | 300073.SZ | ¥  31.76 |    -3609 股 | ¥171.9328
[2020-07-28]  买入 (BUY)   | 600009.SH | ¥  67.93 |     1750 股 | ¥178.3163
[2020-07-28]  卖出 (SELL)  | 600028.SH | ¥   4.03 |    -1128 股 | ¥6.8188
[2020-07-28]  买入 (BUY)   | 002050.SZ | ¥  21.63 |     5509 股 | ¥178.7395
[2020-07-28]  卖出 (SELL)  | 000799.SZ | ¥  65.90 |      -26 股 | ¥2.5701
[2020-07-28]  买入 (BUY)   | 600839.SH | ¥   2.94 |       65 股 | ¥0.2867
[2020-07-28]  买入 (BUY)   | 002281.SZ | ¥  32.14 |      293 股 | ¥14.1255
[2020-07-28]  买入 (BUY)   | 600048.SH | ¥  15.65 |      283 股 | ¥6.6434
[2020-07-28]  买入 (BUY)   | 002142.SZ | ¥  28.80 |     4091 股 | ¥176.7312
[2020-07-28]  买入 (BUY)   | 601088.SH | ¥  15.58 |        1 股 | ¥0.0234
[2020-07-28]  买入 (BUY)   | 000725.SZ | ¥   4.51 |      782 股 | ¥5.2902
